trip,rows,dur_min,dt_median_s,dt_p90_s,gaps_gt10s
9a1acce2-d6e7-498a-8346-0d820eea924e,3470,60.15175,1.038,1.058,0
a2365da9-b304-48e6-a7df-2684e31996ab,16930,373.1771166666667,1.038,1.06,4
a43d7b69-9c6f-4df4-a391-c41a30f723fe,735,12.736366666666667,1.038,1.059,0
a6f45bbb-78fa-4cb7-b0ea-8745b7d42849,1005,16.7362,1.0,1.005,0
aafd840f-066a-4eb2-a7f6-4c15397c55f3,4399,327.32385,1.039,1.058,0
b456ed10-39d1-4233-87d2-386265223669,969,16.997716666666665,1.049,1.095,0
b63a638a-3086-4e40-a9ac-9e8d64f31ba5,368,6.4155,1.035,1.056,0
b95b9bfc-e740-484f-8854-f7f205390ff6,1023,18.823266666666665,1.0,1.0499,1
bba124ea-5e60-4a12-8a3f-67bd738bb39c,1228,21.30825,1.041,1.056,0
bdd858e2-62b3-40b4-a248-ea2e10070df6,3300,57.7699,1.04,1.065,0
be4edcb1-5559-4acb-ad62-2ab278ebf1bf,15533,435.91155,1.047,1.081,3
c54a0e0d-911f-4757-b8d7-396d8a8c8b52,1384,24.220233333333333,1.048,1.092,0
c54c5d87-ab9f-4f04-a9b7-c869c0fc2928,951,20.236683333333332,1.038,1.059,1
c6acddd5-7f21-4aaf-9a50-90b0709fb917,958,16.82235,1.049,1.095,0
c6edf80c-1030-44b4-816c-8eaa3a9514eb,11800,217.78756666666666,1.039,1.057,0
c80c2031-a631-4c49-be2a-81dba6bc4ad0,18142,426.9544666666667,1.049,1.095,1
c8677df7-b2b2-4b20-8c35-8d490c126b2a,15834,384.32115,1.0,1.04,3
c8acbb57-bacf-40be-9db8-c137a597a77b,1950,33.88121666666667,1.04,1.059,0
c994de5d-1715-4978-8b21-6cd10dc5c360,705,12.31795,1.041,1.06,0
cc997a85-4dcf-468c-b689-8d41c2ac506a,6624,131.01815,1.037,1.057,3
cf7eb572-2daf-4c74-9cfb-1ece05d9f321,5067,88.95703333333333,1.049,1.095,0
d1a2659a-c2f8-4e00-b332-8fed03295e97,517,9.069583333333334,1.05,1.095,0
d5b432d9-c328-4c8b-9044-30204106a1f3,2836,52.01323333333333,1.038,1.058,1
e4adbbe3-0aee-471a-8f45-1381b7481ee4,4153,75.50836666666666,1.04,1.058,2
e4d3203d-5bc0-4390-bb18-dfdc5660a93b,1192,28.91305,1.051,1.111,3
ea068341-7781-4f03-a3fd-e92888a45349,229,3.986266666666667,1.04,1.057,0
eea8bdf6-b3b8-47e6-b910-d1d8ca1d450e,1371,23.799266666666668,1.04,1.058,0
f3eb6a50-594e-4c2a-9e15-c5bb545aa5fd,21069,351.13118333333335,1.0,1.002,0
f40324b2-f7d6-44f9-bdab-97b7630c03c7,594,10.49435,1.039,1.065,0
f473b8d6-49a9-4ba4-9ffd-5715bae1835e,513,8.53305,1.0,1.002,0
f50c574c-a1b9-4107-b166-744dac9d9ea1,843,14.92485,1.051,1.111,0
fad65dc4-231e-4eb3-8147-b0cba31d5e03,3578,61.88806666666667,1.038,1.058,0
fe5eb080-8885-4b18-af21-edf23ac3f597,614,10.903283333333333,1.049,1.095,0
